top - 13:06:54 up 41 min,  1 user,  load average: 0.46, 0.33, 0.44
Tasks: 176 total,   1 running, 130 sleeping,   0 stopped,   1 zombie
%Cpu(s): 15.2 us,  3.8 sy,  3.3 ni, 68.3 id,  9.3 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  8168452 total,  5246948 free,   877872 used,  2043632 buff/cache
KiB Swap:  4194300 total,  4194300 free,        0 used.  6926056 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 7552 jmeter+   20   0   41812   3688   3120 R 17.6  0.0   0:00.04 top
 1414 root      20   0  429376  84212  36360 S  5.9  1.0   0:33.66 Xorg
 2801 jmeter+   20   0 1234168 172376  80776 S  5.9  2.1   3:49.07 compiz
    1 root      20   0  119812   5936   4020 S  0.0  0.1   0:05.49 systemd
    2 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kthreadd
    4 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kworker/0:0H
    6 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 mm_percpu_wq
    7 root      20   0       0      0      0 S  0.0  0.0   0:00.68 ksoftirqd/0
    8 root      20   0       0      0      0 I  0.0  0.0   0:01.19 rcu_sched
    9 root      20   0       0      0      0 I  0.0  0.0   0:00.00 rcu_bh
   10 root      rt   0       0      0      0 S  0.0  0.0   0:00.00 migration/0
   11 root      rt   0       0      0      0 S  0.0  0.0   0:00.01 watchdog/0
   12 root      20   0       0      0      0 S  0.0  0.0   0:00.00 cpuhp/0
   13 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kdevtmpfs
   14 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 netns
   15 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcu_tasks_kthre
   16 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kauditd
   17 root      20   0       0      0      0 S  0.0  0.0   0:00.00 khungtaskd
   18 root      20   0       0      0      0 S  0.0  0.0   0:00.00 oom_reaper
   19 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 writeback
   20 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kcompactd0
   21 root      25   5       0      0      0 S  0.0  0.0   0:00.00 ksmd
   22 root      39  19       0      0      0 S  0.0  0.0   0:00.00 khugepaged
   23 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 crypto
   24 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kintegrityd
   25 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kblockd
   26 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 ata_sff
   27 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 md
   28 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 edac-poller
   29 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 devfreq_wq
   30 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 watchdogd
   34 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kswapd0
   35 root       0 -20       0      0      0 I  0.0  0.0   0:09.11 kworker/u3:0
   36 root      20   0       0      0      0 S  0.0  0.0   0:00.00 ecryptfs-kthrea
   78 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kthrotld
   79 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 acpi_thermal_pm
   80 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_0
   81 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 scsi_tmf_0
   82 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_1
   83 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 scsi_tmf_1
   84 root      20   0       0      0      0 I  0.0  0.0   0:00.81 kworker/u2:2
   89 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 ipv6_addrconf
   99 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kstrp
  116 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 charger_manager
  126 root      20   0       0      0      0 I  0.0  0.0   0:00.06 kworker/0:2
  168 root       0 -20       0      0      0 I  0.0  0.0   0:01.24 kworker/0:1H
  199 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_2
  200 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 scsi_tmf_2
  281 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kdmflush
  282 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 bioset
  283 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kcryptd_io
  284 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kcryptd
  285 root      20   0       0      0      0 S  0.0  0.0   0:00.88 dmcrypt_write
  286 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 bioset
  289 root       0 -20       0      0      0 I  0.0  0.0   0:09.22 kworker/u3:1
  297 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kdmflush
  298 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 bioset
  299 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kdmflush
  300 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 bioset
  335 root      20   0       0      0      0 S  0.0  0.0   0:00.47 jbd2/dm-1-8
  336 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 ext4-rsv-conver
  373 root      20   0   35380   4044   3628 S  0.0  0.0   0:00.53 systemd-journal
  394 root      20   0   45844   4676   3060 S  0.0  0.1   0:02.74 systemd-udevd
  407 root      20   0  102968   1592   1368 S  0.0  0.0   0:00.01 lvmetad
  442 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 iprt-VBoxWQueue
  476 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 ttm_swap
  616 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 ext4-rsv-conver
  856 root      20   0   28596   3084   2716 S  0.0  0.0   0:00.13 systemd-logind
  878 root      20   0   29008   2996   2716 S  0.0  0.0   0:00.01 cron
  881 avahi     20   0   44912   3464   3080 S  0.0  0.0   0:00.12 avahi-daemon
  883 syslog    20   0  256392   3404   2736 S  0.0  0.0   0:00.11 rsyslogd
  894 root      20   0    4396   1260   1176 S  0.0  0.0   0:00.10 acpid
  903 message+  20   0   44292   5152   3500 S  0.0  0.1   0:02.22 dbus-daemon
  914 avahi     20   0   44784    336     12 S  0.0  0.0   0:00.00 avahi-daemon
 1061 root      20   0  375780  16112  13280 S  0.0  0.2   0:00.71 NetworkManager
 1062 root      20   0  339792   8792   7096 S  0.0  0.1   0:00.07 ModemManager
 1068 root      20   0  275864   6256   5556 S  0.0  0.1   0:00.19 accounts-daemon
 1149 root      20   0  276648   6056   5348 S  0.0  0.1   0:00.05 lightdm
 1224 root      20   0  281948   8624   6112 S  0.0  0.1   0:00.67 polkitd
 1374 root      20   0  572016  44368  25652 S  0.0  0.5   0:01.12 containerd
 1448 root      20   0   16128   3660   2804 S  0.0  0.0   0:00.02 dhclient
 1463 nobody    20   0   52864   4260   3880 S  0.0  0.1   0:00.02 dnsmasq
 1669 root      20   0  557640  71552  39148 S  0.0  0.9   0:09.44 dockerd
